timestamp,ETH: Supply Last Active 7y-10y,timestamp,ETH: Supply Last Active 5y-7y,timestamp,ETH: Supply Last Active >10y,timestamp,ETH: Circulating Supply
2015-07-30T00:00:00.000Z,0,2015-07-30T00:00:00.000Z,0,2015-07-30T00:00:00.000Z,0,2015-07-30T00:00:00.000Z,72049301.59323
2015-07-31T00:00:00.000Z,0,2015-07-31T00:00:00.000Z,0,2015-07-31T00:00:00.000Z,0,2015-07-31T00:00:00.000Z,72085493.31198
2015-08-01T00:00:00.000Z,0,2015-08-01T00:00:00.000Z,0,2015-08-01T00:00:00.000Z,0,2015-08-01T00:00:00.000Z,72113195.49948
2015-08-02T00:00:00.000Z,0,2015-08-02T00:00:00.000Z,0,2015-08-02T00:00:00.000Z,0,2015-08-02T00:00:00.000Z,72141422.68698
2015-08-03T00:00:00.000Z,0,2015-08-03T00:00:00.000Z,0,2015-08-03T00:00:00.000Z,0,2015-08-03T00:00:00.000Z,72169399.40573
2015-08-04T00:00:00.000Z,0,2015-08-04T00:00:00.000Z,0,2015-08-04T00:00:00.000Z,0,2015-08-04T00:00:00.000Z,72197877.84323
2015-08-05T00:00:00.000Z,0,2015-08-05T00:00:00.000Z,0,2015-08-05T00:00:00.000Z,0,2015-08-05T00:00:00.000Z,72225406.43698
2015-08-06T00:00:00.000Z,0,2015-08-06T00:00:00.000Z,0,2015-08-06T00:00:00.000Z,0,2015-08-06T00:00:00.000Z,72252481.90573
2015-08-07T00:00:00.000Z,0,2015-08-07T00:00:00.000Z,0,2015-08-07T00:00:00.000Z,0,2015-08-07T00:00:00.000Z,72279919.56198
2015-08-08T00:00:00.000Z,0,2015-08-08T00:00:00.000Z,0,2015-08-08T00:00:00.000Z,0,2015-08-08T00:00:00.000Z,72307862.99948
2015-08-09T00:00:00.000Z,0,2015-08-09T00:00:00.000Z,0,2015-08-09T00:00:00.000Z,0,2015-08-09T00:00:00.000Z,72335041.28073
2015-08-10T00:00:00.000Z,0,2015-08-10T00:00:00.000Z,0,2015-08-10T00:00:00.000Z,0,2015-08-10T00:00:00.000Z,72362858.62448
2015-08-11T00:00:00.000Z,0,2015-08-11T00:00:00.000Z,0,2015-08-11T00:00:00.000Z,0,2015-08-11T00:00:00.000Z,72390886.43698
2015-08-12T00:00:00.000Z,0,2015-08-12T00:00:00.000Z,0,2015-08-12T00:00:00.000Z,0,2015-08-12T00:00:00.000Z,72418257.37448
2015-08-13T00:00:00.000Z,0,2015-08-13T00:00:00.000Z,0,2015-08-13T00:00:00.000Z,0,2015-08-13T00:00:00.000Z,72446525.49948
2015-08-14T00:00:00.000Z,0,2015-08-14T00:00:00.000Z,0,2015-08-14T00:00:00.000Z,0,2015-08-14T00:00:00.000Z,72477632.21823
2015-08-15T00:00:00.000Z,0,2015-08-15T00:00:00.000Z,0,2015-08-15T00:00:00.000Z,0,2015-08-15T00:00:00.000Z,72506144.87448
2015-08-16T00:00:00.000Z,0,2015-08-16T00:00:00.000Z,0,2015-08-16T00:00:00.000Z,0,2015-08-16T00:00:00.000Z,72533239.40573
2015-08-17T00:00:00.000Z,0,2015-08-17T00:00:00.000Z,0,2015-08-17T00:00:00.000Z,0,2015-08-17T00:00:00.000Z,72561358.31198
2015-08-18T00:00:00.000Z,0,2015-08-18T00:00:00.000Z,0,2015-08-18T00:00:00.000Z,0,2015-08-18T00:00:00.000Z,72587521.12448
2015-08-19T00:00:00.000Z,0,2015-08-19T00:00:00.000Z,0,2015-08-19T00:00:00.000Z,0,2015-08-19T00:00:00.000Z,72614803.15573
2015-08-20T00:00:00.000Z,0,2015-08-20T00:00:00.000Z,0,2015-08-20T00:00:00.000Z,0,2015-08-20T00:00:00.000Z,72635860.18698
2015-08-21T00:00:00.000Z,0,2015-08-21T00:00:00.000Z,0,2015-08-21T00:00:00.000Z,0,2015-08-21T00:00:00.000Z,72662551.12448
2015-08-22T00:00:00.000Z,0,2015-08-22T00:00:00.000Z,0,2015-08-22T00:00:00.000Z,0,2015-08-22T00:00:00.000Z,72690101.59323
2015-08-23T00:00:00.000Z,0,2015-08-23T00:00:00.000Z,0,2015-08-23T00:00:00.000Z,0,2015-08-23T00:00:00.000Z,72716357.21823
2015-08-24T00:00:00.000Z,0,2015-08-24T00:00:00.000Z,0,2015-08-24T00:00:00.000Z,0,2015-08-24T00:00:00.000Z,72743690.49948
2015-08-25T00:00:00.000Z,0,2015-08-25T00:00:00.000Z,0,2015-08-25T00:00:00.000Z,0,2015-08-25T00:00:00.000Z,72770426.59323
2015-08-26T00:00:00.000Z,0,2015-08-26T00:00:00.000Z,0,2015-08-26T00:00:00.000Z,0,2015-08-26T00:00:00.000Z,72796564.56198
2015-08-27T00:00:00.000Z,0,2015-08-27T00:00:00.000Z,0,2015-08-27T00:00:00.000Z,0,2015-08-27T00:00:00.000Z,72821097.37448
2015-08-28T00:00:00.000Z,0,2015-08-28T00:00:00.000Z,0,2015-08-28T00:00:00.000Z,0,2015-08-28T00:00:00.000Z,72845322.53073
2015-08-29T00:00:00.000Z,0,2015-08-29T00:00:00.000Z,0,2015-08-29T00:00:00.000Z,0,2015-08-29T00:00:00.000Z,72867847.53073
